country,region,population,number_of_high_quality_articles,number_of_articles
Afghanistan,SOUTH ASIA,42400000.0,3.0,85
Albania,SOUTHERN EUROPE,2700000.0,7.0,70
Algeria,NORTHERN AFRICA,46800000.0,1.0,71
Angola,MIDDLE AFRICA,36700000.0,2.0,58
Antigua and Barbuda,CARIBBEAN,100000.0,0.0,33
Argentina,SOUTH AMERICA,46300000.0,1.0,64
Armenia,WESTERN ASIA,3000000.0,1.0,36
Austria,WESTERN EUROPE,9200000.0,1.0,75
Azerbaijan,WESTERN ASIA,10200000.0,3.0,81
Bahamas,CARIBBEAN,400000.0,0.0,9
Bahrain,WESTERN ASIA,1600000.0,1.0,43
Bangladesh,SOUTH ASIA,173500000.0,1.0,74
Barbados,CARIBBEAN,300000.0,0.0,25
Belarus,EASTERN EUROPE,9200000.0,5.0,39
Belgium,WESTERN EUROPE,11800000.0,1.0,77
Belize,CENTRAL AMERICA,500000.0,0.0,9
Benin,WESTERN AFRICA,13700000.0,0.0,7
Bhutan,SOUTH ASIA,800000.0,0.0,44
Bolivia,SOUTH AMERICA,12200000.0,2.0,27
Bosnia Herzegovina,SOUTHERN EUROPE,3400000.0,2.0,43
Botswana,SOUTHERN AFRICA,2700000.0,0.0,3
Brazil,SOUTH AMERICA,204000000.0,6.0,103
Bulgaria,EASTERN EUROPE,6400000.0,3.0,66
Burkina Faso,WESTERN AFRICA,22900000.0,2.0,26
Myanmar,SOUTHEAST ASIA,55400000.0,2.0,75
Burundi,EASTERN AFRICA,13200000.0,3.0,16
Cambodia,SOUTHEAST ASIA,17000000.0,1.0,37
Cameroon,MIDDLE AFRICA,28100000.0,2.0,46
Cape Verde,WESTERN AFRICA,600000.0,0.0,9
Central African Republic,MIDDLE AFRICA,6200000.0,1.0,15
Chad,MIDDLE AFRICA,18300000.0,0.0,21
Chile,SOUTH AMERICA,20000000.0,1.0,59
China,EAST ASIA,1411299999.9999,0.0,16
Colombia,SOUTH AMERICA,52200000.0,1.0,78
Comoros,EASTERN AFRICA,900000.0,0.0,23
Congo,MIDDLE AFRICA,6100000.0,0.0,31
Congo DR,MIDDLE AFRICA,102299999.9999,2.0,53
Costa Rica,CENTRAL AMERICA,5300000.0,1.0,62
Croatia,SOUTHERN EUROPE,3800000.0,5.0,65
Cuba,CARIBBEAN,11000000.0,6.0,50
Cyprus,WESTERN ASIA,1300000.0,0.0,16
Czechia,EASTERN EUROPE,10900000.0,2.0,60
Djibouti,EASTERN AFRICA,1100000.0,0.0,15
Dominican Republic,CARIBBEAN,11300000.0,2.0,38
Timor Leste,SOUTHEAST ASIA,1400000.0,0.0,15
Ecuador,SOUTH AMERICA,17100000.0,0.0,33
Egypt,NORTHERN AFRICA,105200000.0,1.0,32
United Arab Emirates,WESTERN ASIA,9500000.0,2.0,21
Equatorial Guinea,MIDDLE AFRICA,1700000.0,0.0,2
Eritrea,EASTERN AFRICA,3700000.0,0.0,15
Estonia,NORTHERN EUROPE,1400000.0,0.0,15
Ethiopia,EASTERN AFRICA,126500000.0,2.0,44
Finland,NORTHERN EUROPE,5600000.0,2.0,41
France,WESTERN EUROPE,65900000.00000001,5.0,119
Gabon,MIDDLE AFRICA,2400000.0,1.0,5
Gambia,WESTERN AFRICA,2800000.0,0.0,18
Germany,WESTERN EUROPE,84900000.0,5.0,103
Ghana,WESTERN AFRICA,34100000.0,1.0,4
Greece,SOUTHERN EUROPE,10600000.0,1.0,52
Grenada,CARIBBEAN,100000.0,0.0,2
Guatemala,CENTRAL AMERICA,18100000.0,2.0,28
Guinea,WESTERN AFRICA,14200000.0,1.0,35
Guyana,SOUTH AMERICA,800000.0,1.0,17
Haiti,CARIBBEAN,11600000.0,0.0,34
Honduras,CENTRAL AMERICA,9700000.0,0.0,17
Hungary,EASTERN EUROPE,9600000.0,2.0,86
India,SOUTH ASIA,1428600000.0,0.0,151
Indonesia,SOUTHEAST ASIA,278700000.0,15.0,113
Iran,SOUTH ASIA,89200000.0,3.0,69
Iraq,WESTERN ASIA,45500000.0,7.0,93
Israel,WESTERN ASIA,9800000.0,0.0,2
Italy,SOUTHERN EUROPE,58800000.0,2.0,148
Cote d'Ivoire,WESTERN AFRICA,30900000.0,0.0,10
Japan,EAST ASIA,124500000.0,2.0,117
Jordan,WESTERN ASIA,11400000.0,2.0,36
Kazakhstan,CENTRAL ASIA,19900000.0,3.0,36
Kenya,EASTERN AFRICA,55100000.0,3.0,125
Kosovo,SOUTHERN EUROPE,1700000.0,4.0,26
Kuwait,WESTERN ASIA,4400000.0,0.0,17
Kyrgyzstan,CENTRAL ASIA,6800000.0,1.0,19
Laos,SOUTHEAST ASIA,7500000.0,0.0,5
Latvia,NORTHERN EUROPE,1900000.0,1.0,7
Lebanon,WESTERN ASIA,5400000.0,1.0,51
Lesotho,SOUTHERN AFRICA,2300000.0,0.0,5
Liberia,WESTERN AFRICA,5400000.0,0.0,25
Libya,NORTHERN AFRICA,6900000.0,3.0,31
Lithuania,NORTHERN EUROPE,2900000.0000000005,4.0,58
Luxembourg,WESTERN EUROPE,700000.0,2.0,27
North Macedonia,SOUTHERN EUROPE,1799999.9999999998,1.0,27
Madagascar,EASTERN AFRICA,30400000.0,1.0,35
Malawi,EASTERN AFRICA,19800000.0,0.0,16
Malaysia,SOUTHEAST ASIA,33400000.0,0.0,68
Maldives,SOUTH ASIA,600000.0,1.0,33
Mali,WESTERN AFRICA,23300000.0,1.0,29
Malta,SOUTHERN EUROPE,600000.0,0.0,1
Marshall Islands,OCEANIA,100000.0,0.0,13
Mauritania,WESTERN AFRICA,4900000.0,2.0,30
Federated States of Micronesia,OCEANIA,100000.0,0.0,14
Moldova,EASTERN EUROPE,3400000.0,1.0,68
Monaco,WESTERN EUROPE,0.0,0.0,10
Mongolia,EAST ASIA,3500000.0,1.0,9
Montenegro,SOUTHERN EUROPE,600000.0,3.0,36
Morocco,NORTHERN AFRICA,37000000.0,3.0,64
Mozambique,EASTERN AFRICA,33900000.0,0.0,12
Namibia,SOUTHERN AFRICA,2600000.0,0.0,18
Nepal,SOUTH ASIA,30900000.0,4.0,56
Nicaragua,CENTRAL AMERICA,6800000.0,0.0,16
Nigeria,WESTERN AFRICA,223800000.0,6.0,246
Niger,WESTERN AFRICA,27200000.0,0.0,17
Norway,NORTHERN EUROPE,5500000.0,0.0,1
Oman,WESTERN ASIA,5000000.0,0.0,21
Pakistan,SOUTH ASIA,240500000.0,4.0,94
Palestinian Territory,WESTERN ASIA,5500000.0,6.0,61
Panama,CENTRAL AMERICA,4500000.0,3.0,28
Papua New Guinea,OCEANIA,9500000.0,1.0,10
Paraguay,SOUTH AMERICA,6200000.0,0.0,22
Peru,SOUTH AMERICA,33800000.0,5.0,74
Poland,EASTERN EUROPE,37700000.0,7.0,159
Portugal,SOUTHERN EUROPE,10500000.0,2.0,75
Qatar,WESTERN ASIA,2700000.0,0.0,5
Russia,EASTERN EUROPE,146900000.0,9.0,119
Rwanda,EASTERN AFRICA,14100000.0,2.0,16
St. Kitts and Nevis,CARIBBEAN,100000.0,0.0,3
St. Lucia,CARIBBEAN,200000.0,0.0,3
St. Vincent and the Grenadines,CARIBBEAN,100000.0,0.0,4
El Salvador,CENTRAL AMERICA,6400000.0,3.0,28
Samoa,OCEANIA,200000.0,0.0,8
Saudi Arabia,WESTERN ASIA,36900000.00000001,2.0,5
Senegal,WESTERN AFRICA,18300000.0,0.0,31
Serbia,SOUTHERN EUROPE,6600000.000000001,6.0,79
Seychelles,EASTERN AFRICA,100000.0,0.0,6
Sierra Leone,WESTERN AFRICA,8900000.0,0.0,22
Singapore,SOUTHEAST ASIA,5800000.000000001,0.0,4
Slovakia,EASTERN EUROPE,5400000.0,1.0,33
Slovenia,SOUTHERN EUROPE,2100000.0,2.0,38
Solomon Islands,OCEANIA,800000.0,0.0,12
Somalia,EASTERN AFRICA,18100000.0,2.0,103
South Africa,SOUTHERN AFRICA,60700000.0,8.0,97
South Sudan,EASTERN AFRICA,11100000.0,3.0,70
Spain,SOUTHERN EUROPE,48300000.0,18.0,137
Sri Lanka,SOUTH ASIA,22700000.0,5.0,64
Sudan,NORTHERN AFRICA,48100000.0,5.0,46
Sweden,NORTHERN EUROPE,10500000.0,2.0,69
Switzerland,WESTERN EUROPE,8800000.0,7.0,87
Syria,WESTERN ASIA,23200000.000000004,2.0,37
Taiwan,EAST ASIA,23400000.0,0.0,10
Tajikistan,CENTRAL ASIA,10200000.0,1.0,14
Tanzania,EASTERN AFRICA,67400000.0,0.0,32
Thailand,SOUTHEAST ASIA,66000000.0,5.0,43
Togo,WESTERN AFRICA,9100000.0,0.0,6
Tonga,OCEANIA,100000.0,0.0,10
Trinidad and Tobago,CARIBBEAN,1400000.0,1.0,18
Tunisia,NORTHERN AFRICA,11900000.0,4.0,58
Turkey,WESTERN ASIA,85600000.0,0.0,53
Turkmenistan,CENTRAL ASIA,7100000.0,0.0,12
Tuvalu,OCEANIA,0.0,0.0,1
Uganda,EASTERN AFRICA,48600000.0,1.0,65
Ukraine,EASTERN EUROPE,36700000.0,8.0,79
Uruguay,SOUTH AMERICA,3600000.0,1.0,36
Uzbekistan,CENTRAL ASIA,36400000.0,0.0,25
Vanuatu,OCEANIA,300000.0,0.0,4
Venezuela,SOUTH AMERICA,28800000.0,1.0,56
Vietnam,SOUTHEAST ASIA,98900000.0,2.0,36
Yemen,WESTERN ASIA,34400000.00000001,0.0,32
Zambia,EASTERN AFRICA,20200000.0,0.0,3
Zimbabwe,EASTERN AFRICA,16700000.0,0.0,69
