region,number_of_articles,number_of_high_quality_articles,population,articles_per_capita,high_quality_articles_per_capita
CARIBBEAN,219,9.0,36600000.0,5.983606557377049e-06,2.459016393442623e-07
CENTRAL AMERICA,188,9.0,51300000.0,3.664717348927875e-06,1.7543859649122808e-07
CENTRAL ASIA,106,5.0,80400000.0,1.318407960199005e-06,6.218905472636815e-08
EAST ASIA,152,3.0,1562699999.9999,9.726754975363776e-08,1.9197542714533765e-09
EASTERN AFRICA,665,17.0,480900000.0,1.3828238719068413e-06,3.535038469536286e-08
EASTERN EUROPE,709,38.0,266200000.0,2.6634109691960933e-06,1.4274981217129977e-07
MIDDLE AFRICA,231,8.0,201799999.99989998,1.144697720515929e-06,3.9643211100118756e-08
NORTHERN AFRICA,302,17.0,255900000.0,1.180148495506057e-06,6.643220007815552e-08
NORTHERN EUROPE,191,9.0,27800000.0,6.870503597122302e-06,3.237410071942446e-07
OCEANIA,72,1.0,11100000.0,6.4864864864864866e-06,9.009009009009008e-08
SOUTH AMERICA,569,19.0,425000000.0,1.3388235294117646e-06,4.470588235294118e-08
SOUTH ASIA,670,21.0,2029200000.0,3.301793810368618e-07,1.0348905972797162e-08
SOUTHEAST ASIA,396,25.0,564100000.0,7.020031909235951e-07,4.431838326537848e-08
SOUTHERN AFRICA,123,8.0,68300000.0,1.8008784773060029e-06,1.171303074670571e-07
SOUTHERN EUROPE,797,53.0,151500000.0,5.260726072607261e-06,3.4983498349834985e-07
WESTERN AFRICA,515,13.0,440100000.0,1.170188593501477e-06,2.9538741195182915e-08
WESTERN ASIA,610,27.0,295400000.0,2.064996614759648e-06,9.140148950575492e-08
WESTERN EUROPE,498,21.0,181300000.0,2.7468284611141753e-06,1.1583011583011583e-07
